"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
296, -1.898895477608999e+01, -1.037461396582771e+02, -5.085776308366259e-02, -1.017155261673252e-01, 4.736041377272806e-06, 1.944323670852658e-06, 0.000000000000000e+00
297, -1.840622763423383e+01, -1.035111757055874e+02, -7.486344127740722e-02, -1.497268825548144e-01, 4.849531764143096e-06, 1.920065454978539e-06, 0.000000000000000e+00
298, -1.782059393566247e+01, -1.032835528771694e+02, -9.816729777976621e-02, -1.963345955595324e-01, 4.955644709691286e-06, 1.890394871609592e-06, 0.000000000000000e+00
299, -1.723214615872578e+01, -1.030633071173063e+02, -1.193321643986485e-01, -2.386643287972970e-01, 5.076670154902999e-06, 1.863827993326476e-06, 0.000000000000000e+00
300, -1.664097722614925e+01, -1.028504732053567e+02, -1.430738205660709e-01, -2.861476411321418e-01, 5.272506572877929e-06, 1.860881068565718e-06, 0.000000000000000e+00
301, -1.604718049036039e+01, -1.026450847502628e+02, -1.618414377722190e-01, -3.236828755444379e-01, 5.397462966386541e-06, 1.829040595994425e-06, 0.000000000000000e+00
302, -1.545084971874728e+01, -1.024471741852423e+02, -1.768450440514818e-01, -3.536900881029636e-01, 5.319556342085039e-06, 1.728428630764075e-06, 0.000000000000000e+00
303, -1.485207907885165e+01, -1.022567727626678e+02, -1.928730154790035e-01, -3.857460309580071e-01, 5.266742373819719e-06, 1.638391008531137e-06, 0.000000000000000e+00
304, -1.425096312349870e+01, -1.020739105491312e+02, -2.179367200977222e-01, -4.358734401954444e-01, 5.435026445461953e-06, 1.616121038394348e-06, 0.000000000000000e+00
305, -1.364759677586615e+01, -1.018986164206957e+02, -2.397165947914973e-01, -4.794331895829946e-01, 5.601341017521287e-06, 1.589244173927133e-06, 0.000000000000000e+00
306, -1.304207531449473e+01, -1.017309180583363e+02, -2.573820017222863e-01, -5.147640034445725e-01, 5.509019522962361e-06, 1.488510753412381e-06, 0.000000000000000e+00
307, -1.243449435824262e+01, -1.015708419435684e+02, -2.759725650903385e-01, -5.519451301806769e-01, 5.526357830107297e-06, 1.418927522547862e-06, 0.000000000000000e+00
308, -1.182494985118611e+01, -1.014184133542663e+02, -2.920978349821028e-01, -5.841956699642056e-01, 5.525488986430509e-06, 1.344925818176278e-06, 0.000000000000000e+00
309, -1.121353804746893e+01, -1.012736563606711e+02, -3.148660858505287e-01, -6.297321717010573e-01, 5.584931468904558e-06, 1.285276851114355e-06, 0.000000000000000e+00
310, -1.060035549610260e+01, -1.011365938215903e+02, -3.400334791800088e-01, -6.800669583600176e-01, 5.715901490823233e-06, 1.239999265753253e-06, 0.000000000000000e+00
311, -9.985499025720209e+00, -1.010072473807876e+02, -3.571217713269056e-01, -7.142435426538112e-01, 5.649767824217852e-06, 1.151512174520159e-06, 0.000000000000000e+00
